"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"41100";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"39600";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"37200";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"29500";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"33300";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"36200";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Arts visuels et d’interprétation, et technologie des communications [2]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664019544";"1.3.4.2.1.1.4.2";"31800";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Sciences humaines [3]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019732";"1.3.7.2.1.1.4.1";"40";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Sciences humaines [3]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019732";"1.3.7.2.1.1.4.1";"40";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Sciences humaines [3]";"Homme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664019732";"1.3.7.2.1.1.4.1";"20";"";"";"";"0"
